Number of hardware counters available: 10
L1_TCM: 46171, TOT_INS: 269285, TLB_DM: 1774
L1_TCM: 189350, TOT_INS: 2084343, TLB_DM: 8313
L1_TCM: 1093708, TOT_INS: 14342568, TLB_DM: 43597
L1_TCM: 1522123, TOT_INS: 18098410, TLB_DM: 62351
L1_TCM: 3365060, TOT_INS: 39448583, TLB_DM: 120066
L1_TCM: 5736733, TOT_INS: 70566740, TLB_DM: 198574
L1_TCM: 2164307351, TOT_INS: 10779336303, TLB_DM: 1111885042
L1_TCM: 2164307351, TOT_INS: 10779336303, TLB_DM: 1111885042
L1_TCM: 2164307351, TOT_INS: 10779336303, TLB_DM: 1111885042
L1_TCM: 2164307351, TOT_INS: 10779336303, TLB_DM: 1111885042
L1_TCM: 2164307351, TOT_INS: 10779336303, TLB_DM: 1111885042
L1_TCM: 2164307351, TOT_INS: 10779336303, TLB_DM: 1111885042
L1_TCM: 2164307351, TOT_INS: 10779336303, TLB_DM: 1111885042
L1_TCM: 2164307351, TOT_INS: 10779336303, TLB_DM: 1111885042
L1_TCM: 2164307351, TOT_INS: 10779336303, TLB_DM: 1111885042
L1_TCM: 2164307351, TOT_INS: 10779336303, TLB_DM: 1111885042
L1_TCM: 2164307351, TOT_INS: 10779336303, TLB_DM: 1111885042
L1_TCM: 3, TOT_INS: 0, TLB_DM: 0
L1_TCM: 3, TOT_INS: 0, TLB_DM: 0
L1_TCM: 3, TOT_INS: 0, TLB_DM: 0
L1_TCM: 3, TOT_INS: 0, TLB_DM: 0
L1_TCM: 3, TOT_INS: 0, TLB_DM: 0
L1_TCM: 3, TOT_INS: 0, TLB_DM: 0
L1_TCM: 3, TOT_INS: 0, TLB_DM: 0
L1_TCM: 3, TOT_INS: 0, TLB_DM: 0
L1_TCM: 3, TOT_INS: 0, TLB_DM: 0
L1_TCM: 3, TOT_INS: 0, TLB_DM: 0
L1_TCM: 3, TOT_INS: 0, TLB_DM: 0

