Number of hardware counters available: 11
L1_TCM: 0, TOT_INS: 0, TLB_DM: 0
L1_TCM: 0, TOT_INS: 0, TLB_DM: 0
L1_TCM: 574, TOT_INS: 16421, TLB_DM: 2076
L1_TCM: 574, TOT_INS: 16421, TLB_DM: 2076
L1_TCM: 574, TOT_INS: 16421, TLB_DM: 2076
L1_TCM: 574, TOT_INS: 16421, TLB_DM: 2076
L1_TCM: 574, TOT_INS: 16421, TLB_DM: 2076
L1_TCM: 1149, TOT_INS: 32842, TLB_DM: 4150
L1_TCM: 1149, TOT_INS: 32842, TLB_DM: 4150
L1_TCM: 1149, TOT_INS: 32842, TLB_DM: 4150
L1_TCM: 1149, TOT_INS: 32842, TLB_DM: 4150
L1_TCM: 1149, TOT_INS: 32842, TLB_DM: 4150
L1_TCM: 1722, TOT_INS: 49263, TLB_DM: 6225
L1_TCM: 1722, TOT_INS: 49263, TLB_DM: 6225
L1_TCM: 1722, TOT_INS: 49263, TLB_DM: 6225
L1_TCM: 5167, TOT_INS: 68239, TLB_DM: 6354
L1_TCM: 5167, TOT_INS: 68239, TLB_DM: 6354
L1_TCM: 5740, TOT_INS: 84660, TLB_DM: 8426
L1_TCM: 5740, TOT_INS: 84660, TLB_DM: 8426
L1_TCM: 5740, TOT_INS: 84660, TLB_DM: 8426
L1_TCM: 5740, TOT_INS: 84660, TLB_DM: 8426
L1_TCM: 5740, TOT_INS: 84660, TLB_DM: 8426
L1_TCM: 6313, TOT_INS: 101081, TLB_DM: 10500
L1_TCM: 6313, TOT_INS: 101081, TLB_DM: 10500
L1_TCM: 6313, TOT_INS: 101081, TLB_DM: 10500
L1_TCM: 6313, TOT_INS: 101081, TLB_DM: 10500
L1_TCM: 6313, TOT_INS: 101081, TLB_DM: 10500
L1_TCM: 6887, TOT_INS: 117502, TLB_DM: 12573
L1_TCM: 6887, TOT_INS: 117502, TLB_DM: 12573
L1_TCM: 6887, TOT_INS: 117502, TLB_DM: 12573
L1_TCM: 6887, TOT_INS: 117502, TLB_DM: 12573
L1_TCM: 6887, TOT_INS: 117502, TLB_DM: 12573
L1_TCM: 7462, TOT_INS: 133923, TLB_DM: 14647
L1_TCM: 7462, TOT_INS: 133923, TLB_DM: 14647
L1_TCM: 7462, TOT_INS: 133923, TLB_DM: 14647
L1_TCM: 7462, TOT_INS: 133923, TLB_DM: 14647
L1_TCM: 7462, TOT_INS: 133923, TLB_DM: 14647
L1_TCM: 8037, TOT_INS: 150344, TLB_DM: 16722
L1_TCM: 8037, TOT_INS: 150344, TLB_DM: 16722
L1_TCM: 8037, TOT_INS: 150344, TLB_DM: 16722
L1_TCM: 8037, TOT_INS: 150344, TLB_DM: 16722
L1_TCM: 8037, TOT_INS: 150344, TLB_DM: 16722
L1_TCM: 8611, TOT_INS: 166765, TLB_DM: 18798
L1_TCM: 8611, TOT_INS: 166765, TLB_DM: 18798
L1_TCM: 8611, TOT_INS: 166765, TLB_DM: 18798
L1_TCM: 8611, TOT_INS: 166765, TLB_DM: 18798
