Number of hardware counters available: 11
L1_TCM: 612, TOT_INS: 12444, TLB_DM: 14
L1_TCM: 2052, TOT_INS: 29036, TLB_DM: 63
L1_TCM: 2754, TOT_INS: 37332, TLB_DM: 88
L1_TCM: 2754, TOT_INS: 37332, TLB_DM: 88
L1_TCM: 2754, TOT_INS: 37332, TLB_DM: 88
L1_TCM: 2754, TOT_INS: 37332, TLB_DM: 88
L1_TCM: 2754, TOT_INS: 37332, TLB_DM: 88
L1_TCM: 235062958, TOT_INS: 1752390325, TLB_DM: 22856584
L1_TCM: 645536216, TOT_INS: 4685178945, TLB_DM: 45339975
L1_TCM: 1051840480, TOT_INS: 7651912928, TLB_DM: 53419550
L1_TCM: 1271205279, TOT_INS: 9379994711, TLB_DM: 53639807
L1_TCM: 1271205279, TOT_INS: 9379994711, TLB_DM: 53639807
L1_TCM: 1271205279, TOT_INS: 9379994711, TLB_DM: 53639807
L1_TCM: 1271205279, TOT_INS: 9379994711, TLB_DM: 53639807
L1_TCM: 1271205279, TOT_INS: 9379994711, TLB_DM: 53639807
L1_TCM: 1271205279, TOT_INS: 9379994711, TLB_DM: 53639807
L1_TCM: 1271207057, TOT_INS: 9380015451, TLB_DM: 53639871
L1_TCM: 1271207751, TOT_INS: 9380023747, TLB_DM: 53639895
